posicao,nome_time,total_jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_de_gols,pontos
1,Arsenal FC,38,26,7,5,71,27,44,85
2,Manchester City FC,38,23,9,6,77,35,42,78
3,Manchester United FC,38,20,11,7,69,50,19,71
4,Aston Villa FC,38,19,8,11,56,49,7,65
5,Liverpool FC,38,17,9,12,63,53,10,60
6,AFC Bournemouth,38,13,18,7,58,54,4,57
7,Sunderland AFC,38,14,12,12,42,48,-6,54
8,Brighton & Hove Albion FC,38,14,11,13,52,46,6,53
9,Brentford FC,38,14,11,13,55,52,3,53
10,Chelsea FC,38,14,10,14,58,52,6,52
11,Fulham FC,38,15,7,16,47,51,-4,52
12,Newcastle United FC,38,14,7,17,53,55,-2,49
13,Everton FC,38,13,10,15,47,50,-3,49
14,Leeds United FC,38,11,14,13,49,56,-7,47
15,Crystal Palace FC,38,11,12,15,41,51,-10,45
16,Nottingham Forest FC,38,11,11,16,48,51,-3,44
17,Tottenham Hotspur FC,38,10,11,17,48,57,-9,41
18,West Ham United FC,38,10,9,19,46,65,-19,39
19,Burnley FC,38,4,10,24,38,75,-37,22
20,Wolverhampton Wanderers FC,38,3,11,24,27,68,-41,20
